 o, o,1
 s, s,1
 h, h,0.999
 a, a,1
 n, w,0.623
 q, p,0.984
 u, m,0.69
 i, r,1
 s, j,0.597
 h, h,0.585
 a, a,1
 n, o,1
 q, q,0.998
 u, u,1
 i, i,0.946
 s, o,0.435
 h, b,0.999
 a, a,0.994
 n, n,1
 q, q,0.503
 u, v,0.991
 i, i,0.567
 s, a,0.956
 h, h,0.998
 a, e,0.529
 n, z,0.943
 q, q,1
 u, a,0.996
 i, i,0.999
 s, s,0.827
 h, h,0.834
 a, n,0.982
 n, w,0.985
 q, o,0.946
 u, u,0.999
 i, l,0.822
 s, r,0.975
 h, e,0.99
 a, g,1
 n, k,0.99
 q, l,0.999
 u, u,1
 i, i,0.893
 s, g,0.998
 h, i,0.529
 a, a,1
 n, m,0.923
 q, s,0.994
 u, v,0.806
 i, i,0.997
 s, s,1
 h, u,0.996
 a, a,0.658
 n, n,0.95
 q, q,1
 u, u,1
 i, i,0.946
 s, s,1
 h, h,0.999
 a, d,1
 n, n,0.993
 q, a,0.927
 u, u,0.998
 i, l,1
 s, s,1
 h, i,0.967
 a, d,0.975
 n, e,0.646
 q, g,0.959
 u, u,0.999
 i, i,0.587
 s, f,1
 h, v,0.995
 a, w,0.451
 n, a,0.828
 q, z,0.973
 u, u,0.824
 i, i,1
 s, a,0.954
 h, h,0.667
 a, a,0.997
 n, n,1
 q, q,1
 u, u,0.932
 i, i,0.999
 s, s,0.788
 h, k,0.53
 a, m,0.926
 n, w,1
 q, q,0.982
 u, w,0.995
 i, i,0.999
 s, s,1
 h, h,0.98
 a, d,0.985
 n, n,0.694
 q, q,0.481
 u, a,0.956
 i, i,0.997
 s, l,1
 h, l,0.69
 a, a,0.97
 n, n,1
 q, q,0.997
 u, m,0.946
 i, i,1
 s, g,0.985
 h, h,1
 a, a,0.624
 n, u,0.999
 q, q,0.999
 u, u,1
 i, i,0.969
 s, g,0.993
 h, k,0.985
 a, s,0.571
 n, g,1
 q, g,0.921
 u, v,1
 i, i,0.593
 s, s,1
 h, h,0.853
 a, a,0.991
 n, n,0.851
 q, g,0.976
 u, u,0.988
 i, l,1
 s, s,0.996
 h, h,0.99
 a, a,1
 n, n,0.581
 q, g,0.987
 u, u,0.604
 i, i,0.971
 s, s,0.736
 h, h,1
 a, a,1
 n, n,1
 q, q,1
 u, u,0.998
 i, i,0.992
 s, y,0.666
 h, h,0.631
 a, a,0.908
 n, w,0.536
 q, y,0.845
 u, a,0.984
 i, x,0.968
 s, a,0.491
 h, d,1
 a, d,1
 n, n,1
 q, g,0.865
 u, a,0.999
 i, i,0.995
 s, s,0.825
 h, d,0.974
 a, a,1
 n, m,0.984
 q, q,0.999
 u, x,0.957
 i, i,0.957
 s, n,0.878
 h, h,1
 a, a,0.803
 n, n,0.998
 q, f,0.998
 u, a,0.864
 i, y,0.986
 s, g,0.775
 h, d,1
 a, d,0.788
 n, g,0.972
 q, l,1
 u, u,0.999
 i, i,0.999
 s, s,1
 h, u,0.999
 a, a,0.999
 n, m,0.999
 q, g,0.852
 u, u,0.998
 i, y,0.906
 s, j,0.892
 h, d,1
 a, o,0.913
 n, n,0.997
 q, q,1
 u, u,0.979
 i, i,0.982
 s, s,1
 h, l,0.882
 a, b,0.491
 n, g,0.995
 q, l,1
 u, u,0.949
 i, i,1
 s, y,0.735
 h, u,0.543
 a, z,0.988
 n, g,0.999
 q, q,1
 u, k,1
 i, l,0.941
 s, q,0.99
 h, b,0.81
 a, s,0.639
 n, n,0.924
 q, q,1
 u, u,0.559
 i, i,0.916
 s, s,0.894
 h, d,0.84
 a, k,0.999
 n, v,1
 q, o,0.923
 u, v,0.716
 i, x,0.96
 s, s,1
 h, n,1
 a, a,1
 n, n,0.989
 q, q,0.999
 u, u,0.987
 i, i,1
 s, s,0.949
 h, h,0.991
 a, a,1
 n, n,1
 q, q,1
 u, u,0.844
 i, i,0.995
 s, s,1
 h, u,0.998
 a, a,1
 n, n,0.688
 q, q,1
 u, u,0.796
 i, i,1
 s, s,0.96
 h, h,0.999
 a, o,0.987
 n, n,0.993
 q, q,0.999
 u, u,1
 i, i,0.962
 s, s,0.993
 h, h,0.998
 a, a,0.95
 n, z,0.838
 q, q,1
 u, m,0.881
 i, l,0.998
 s, s,1
 h, h,0.816
 a, d,0.998
 n, n,1
 q, l,0.97
 u, a,0.908
 i, l,0.996
 s, z,0.361
 h, d,0.723
 a, a,1
 n, a,0.796
 q, g,0.999
 u, o,0.942
 i, i,0.957
 s, a,0.887
 h, h,1
 a, a,0.994
 n, n,0.904
 q, g,0.889
 u, u,0.626
 i, h,0.984
 s, s,1
 h, u,0.756
 a, k,0.995
 n, n,0.757
 q, g,0.999
 u, v,1
 i, i,0.997
 s, o,0.971
 h, h,0.705
 a, a,0.99
 n, n,0.837
 q, q,0.489
 u, u,0.723
 i, r,0.979
 s, s,0.872
 h, k,0.966
 a, a,1
 n, n,1
 q, q,0.998
 u, a,0.923
 i, i,1
 s, f,1
 h, h,0.841
 a, a,0.976
 n, n,0.989
 q, t,0.998
 u, u,1
 i, l,0.789
 s, s,0.999
 h, h,0.98
 a, a,1
 n, o,0.998
 q, q,0.999
 u, w,0.999
 i, l,1
 s, s,1
 h, k,0.908
 a, a,1
 n, m,0.704
 q, s,0.641
 u, m,0.699
 i, i,0.999
 s, r,1
 h, h,0.999
 a, a,0.996
 n, a,0.873
 q, a,0.48
 u, v,0.756
 i, l,1
 s, s,1
 h, v,1
 a, a,0.737
 n, m,0.912
 q, p,0.999
 u, a,1
 i, i,1
 s, s,0.572
 h, d,1
 a, a,0.996
 n, n,0.989
 q, a,0.786
 u, u,0.996
 i, i,0.835
 s, s,1
 h, h,1
 a, a,1
 n, n,1
 q, z,0.447
 u, o,0.917
 i, j,0.99
 s, s,0.997
 h, z,0.679
 a, a,0.988
 n, n,1
 q, q,0.948
 u, o,1
 i, l,0.775
 s, s,0.967
 h, h,0.888
 a, m,1
 n, n,0.959
 q, q,0.998
 u, u,0.998
 i, i,0.964
 s, s,0.967
 h, h,0.562
 a, o,0.851
 n, n,0.997
 q, q,1
 u, o,0.531
 i, i,0.989
 s, s,0.999
 h, u,0.72
 a, n,0.733
 n, a,0.992
 q, o,1
 u, v,0.96
 i, l,0.789
 s, s,0.739
 h, n,0.982
 a, a,1
 n, n,0.989
 q, q,0.969
 u, w,0.997
 i, i,0.999
 s, s,1
 h, h,0.506
 a, a,1
 n, n,0.991
 q, q,0.974
 u, u,1
 i, i,0.998
 s, s,1
 h, h,0.998
 a, a,1
 n, m,0.999
 q, s,0.509
 u, u,0.962
 i, i,1
 s, z,0.962
 h, h,0.992
 a, a,1
 n, n,1
 q, q,1
 u, u,0.994
 i, i,0.994
 s, s,1
 h, h,0.889
 a, a,1
 n, n,0.889
 q, g,0.966
 u, m,0.46
 i, i,1
 s, s,0.896
 h, h,0.785
 a, a,1
 n, n,1
 q, q,1
 u, u,1
 i, i,0.998
 s, s,1
 h, h,1
 a, a,0.995
 n, n,0.981
 q, q,0.586
 u, a,0.991
 i, r,0.972
 s, s,1
 h, d,1
 a, a,1
 n, n,1
 q, l,1
 u, o,1
 i, i,0.999
 s, g,0.57
 h, h,0.998
 a, e,0.885
 n, o,0.841
 q, q,1
 u, k,0.923
 i, i,0.987
 s, s,0.998
 h, h,0.651
 a, a,1
 n, u,0.754
 q, q,0.997
 u, u,0.947
 i, l,1
 s, e,0.589
 h, u,0.895
 a, a,1
 n, n,1
 q, q,0.966
 u, v,1
 i, r,1
 s, s,1
 h, u,0.99
 a, a,0.959
 n, n,1
 q, g,0.917
 u, u,0.998
 i, l,0.89
 s, g,0.999
 h, h,0.765
 a, z,1
 n, m,0.603
 q, g,0.877
 u, a,1
 i, h,0.838
 s, m,0.808
 h, u,0.448
 a, a,0.996
 n, n,1
 q, q,1
 u, o,1
 i, i,0.998
 s, s,0.999
 h, h,0.959
 a, k,0.995
 n, g,0.362
 q, q,0.998
 u, v,1
 i, l,0.814
 s, g,1
 h, b,0.98
 a, a,0.964
 n, n,0.816
 q, s,0.984
 u, u,0.543
 i, j,0.985
 s, s,1
 h, h,0.999
 a, a,0.92
 n, o,0.98
 q, t,0.931
 u, o,0.617
 i, i,0.994
 s, s,1
 h, h,0.982
 a, o,0.999
 n, u,1
 q, q,1
 u, v,1
 i, i,0.999
 s, q,0.925
 h, h,0.979
 a, a,0.99
 n, n,0.989
 q, q,1
 u, u,0.729
 i, l,0.764
 s, s,0.572
 h, m,0.759
 a, m,0.998
 n, m,0.895
 q, q,1
 u, u,0.547
 i, l,0.581
 s, c,0.914
 h, u,0.993
 a, a,0.998
 n, n,1
 q, q,0.922
 u, u,1
 i, i,0.998
 s, g,0.986
 h, h,1
 a, a,0.999
 n, n,0.762
 q, q,0.683
 u, a,0.755
 i, i,0.995
 s, g,0.959
 h, k,0.498
 a, z,0.333
 n, n,0.979
 q, q,0.711
 u, z,0.694
 i, j,0.784
 s, s,1
 h, h,1
 a, o,1
 n, n,0.958
 q, z,0.6
 u, u,0.999
 i, i,0.975
 s, s,1
 h, h,0.927
 a, a,0.963
 n, n,0.991
 q, q,1
 u, u,0.963
 i, i,0.98
 s, x,0.571
 h, h,0.953
 a, o,1
 n, n,0.999
 q, q,0.932
 u, u,1
 i, i,0.997
 s, s,0.995
 h, t,0.936
 a, w,0.995
 n, e,0.51
 q, y,0.553
 u, a,0.512
 i, r,1
 s, s,0.991
 h, t,0.975
 a, a,0.995
 n, d,1
 q, a,0.967
 u, u,1
 i, l,0.789
 s, a,0.784
 h, a,0.918
 a, a,0.994
 n, n,0.513
 q, q,1
 u, w,0.995
 i, i,0.999
 s, s,0.926
 h, x,0.526
 a, a,1
 x, x,1
 i, i,0.979
 a, m,0.934
 x, n,0.56
 i, j,1
 a, m,0.969
 x, u,0.985
 i, i,0.966
 a, a,0.535
 x, x,0.992
 i, i,0.996
 a, n,0.629
 x, x,0.986
 i, i,1
 a, m,0.967
 x, x,0.999
 i, i,0.991
 a, a,1
 x, x,0.654
 i, l,1
 a, a,1
 x, x,0.994
 i, i,0.999
 a, g,0.953
 x, y,0.972
 i, i,0.998
 a, m,1
 x, x,1
 i, i,0.999
 a, x,0.581
 x, z,0.669
 i, i,0.999
 a, a,0.587
 x, x,0.904
 i, i,1
 a, a,0.989
 x, y,0.998
 i, i,0.973
 a, a,0.999
 x, x,1
 i, i,0.944
 a, e,0.755
 x, x,1
 i, i,1
 a, a,1
 x, x,1
 i, i,0.964
 a, a,1
 x, x,1
 i, i,0.97
 a, e,0.747
 x, x,0.997
 i, i,0.999
 a, a,1
 x, x,1
 i, i,0.964
 a, a,0.996
 x, d,0.938
 i, i,1
 a, g,0.776
 x, x,0.83
 i, b,0.997
 a, a,1
 x, x,1
 i, i,0.64
 a, a,1
 x, x,0.996
 i, i,1
 a, a,1
 x, x,0.986
 i, i,0.998
 a, a,0.975
 x, x,0.999
 i, h,0.705
 a, a,0.682
 x, x,0.975
 i, i,0.964
 a, m,0.997
 x, x,1
 i, i,1
 a, a,0.748
 x, x,1
 i, l,0.789
 a, u,0.822
 x, m,0.424
 i, k,0.39
 a, m,0.995
 x, m,1
 i, i,0.999
 a, a,0.994
 x, x,0.99
 i, l,1
 a, a,1
 x, x,0.915
 i, i,1
 a, a,1
 x, m,0.772
 i, l,0.858
 a, m,0.999
 x, n,1
 i, i,0.99
 a, m,0.884
 x, y,0.963
 i, i,1
 a, a,1
 x, x,0.998
 i, i,0.96
 a, a,1
 x, x,0.998
 i, i,1
 a, m,0.932
 x, x,1
 i, i,1
 a, m,1
 x, z,0.51
 i, i,1
 a, d,1
 x, x,0.821
 i, i,0.992
 a, a,0.953
 x, z,0.512
 i, l,0.974
 a, a,1
 x, x,1
 i, i,0.998
 a, a,1
 x, x,0.49
 i, i,0.98
 a, g,0.664
 x, x,0.999
 i, i,0.929
 a, a,0.989
 x, x,0.967
 i, l,0.993
 a, a,0.968
 x, x,1
 i, l,1
 a, a,0.941
 x, x,0.999
 i, i,1
 a, a,1
 x, s,0.565
 i, i,0.999
 a, a,1
 x, x,0.995
 i, l,0.998
 a, a,0.993
 x, x,1
 i, i,0.999
 a, a,0.971
 x, x,1
 i, i,0.995
 a, d,1
 x, p,0.999
 i, y,0.574
 a, a,0.876
 x, w,0.693
 i, i,0.971
 a, m,0.997
 x, x,0.594
 i, i,0.997
 a, m,0.998
 x, x,0.999
 i, i,0.846
 a, a,1
 x, x,0.963
 i, i,0.998
 a, a,0.994
 x, x,0.97
 i, i,0.997
 a, m,0.989
 x, m,0.925
 i, b,0.976
 a, m,0.999
 x, x,1
 i, i,0.999
 a, a,1
 x, x,0.446
 i, i,0.937
 a, m,1
 x, a,0.986
 i, i,0.991
 a, a,1
 x, x,1
 i, i,0.92
 a, a,0.999
 x, x,0.999
 i, i,0.989
 a, s,0.638
 x, z,0.902
 i, i,0.998
 a, n,1
 x, x,0.547
 i, l,0.946
 a, g,1
 x, y,0.997
 i, i,0.997
 a, a,1
 x, x,0.385
 i, i,0.998
 a, a,1
 x, x,1
 i, i,0.974
 a, a,0.998
 x, x,1
 i, i,0.772
 a, d,0.81
 x, r,0.677
 i, i,0.998
 a, a,1
 x, y,0.996
 i, i,0.999
 a, m,0.987
 x, x,0.963
 i, i,1
 a, o,1
 x, y,0.783
 i, i,0.956
 a, a,1
 x, x,0.902
 i, i,0.953
 a, a,1
 x, x,1
 i, i,0.994
 a, a,0.998
 x, x,0.974
 i, i,0.999
 a, a,0.954
 x, m,0.997
 i, i,0.998
 a, a,1
 x, x,1
 i, i,0.996
 a, e,0.999
 x, x,1
 i, i,1
 a, d,0.934
 x, x,1
 i, i,0.995
 a, a,1
 x, x,1
 i, i,0.925
 a, a,1
 x, x,1
 i, i,0.991
 a, a,0.998
 x, y,1
 i, i,0.997
 a, a,0.857
 x, y,1
 i, l,1
 a, a,0.975
 x, x,0.958
 i, r,1
 a, m,0.818
 x, x,0.999
 i, i,1
 a, o,1
 x, v,0.998
 i, i,0.994
 a, y,0.566
 x, x,1
 i, i,0.988
 a, m,1
 x, m,0.611
 i, i,0.995
 a, e,0.919
 x, z,0.933
 i, i,0.871
 a, e,0.96
 x, x,0.987
 i, m,0.975
 a, a,1
 x, z,0.967
 i, i,0.986
 a, a,1
 x, x,0.861
 i, i,0.993
 a, a,1
 x, x,0.994
 i, i,0.961
 a, a,0.971
 x, x,1
 i, i,0.998
 a, a,0.918
 x, x,1
 i, i,0.996
 a, a,0.98
 x, z,0.569
 i, f,0.937
 a, m,0.979
 x, t,0.904
 i, i,0.999
 a, a,0.994
 x, v,0.904
 i, i,0.996
 a, a,0.994
 x, x,1
 i, i,0.992
 a, x,0.866
 x, x,0.751
 i, i,0.995
 a, a,0.981
 x, m,1
 i, i,0.996
 a, a,1
 x, x,1
 i, i,0.996
 a, m,0.999
 x, x,0.999
 i, l,0.789
 a, a,0.766
 x, x,0.994
 i, i,0.993
 a, m,0.972
 x, x,0.982
 i, i,0.983
 a, g,0.97
 x, x,1
 i, l,0.979
 a, x,0.848
 x, x,0.997
 i, i,0.996
 a, a,1
 x, a,0.452
 i, i,1
 a, a,1
 x, v,0.867
 i, i,1
 a, m,0.999
 x, x,1
 i, j,1
 a, a,0.996
 x, x,1
 i, i,1
 a, a,0.998
 x, x,0.907
 i, i,0.994
 a, a,0.991
 x, n,0.908
 i, l,0.999
 a, a,1
 x, x,0.993
 i, i,0.99
 a, a,0.997
 x, z,0.949
 i, i,1
 a, a,1
 x, v,0.434
 i, i,1
 a, a,0.674
 x, x,1
 i, l,0.976
 a, m,0.669
 x, x,0.999
 i, i,0.999
 a, a,1
 x, n,0.765
 i, i,0.998
 a, o,1
 x, x,0.995
 i, i,0.976
 a, a,1
 x, x,0.981
 i, i,1
 a, a,1
 x, x,1
 i, i,0.998
 a, a,1
 x, x,0.995
 i, i,0.877
 a, a,1
 x, x,1
 i, i,0.998
 a, a,1
 x, z,0.546
 i, r,0.992
 a, a,1
 x, x,0.994
 i, l,0.998
 a, a,0.996
 x, x,1
 i, i,0.998
 a, m,0.739
 x, m,0.965
 i, x,0.863
 a, o,0.644
 x, x,1
 i, i,1
 a, m,0.531
 x, x,1
 i, i,0.999
 a, a,0.951
 x, x,1
 i, i,0.999
 a, k,0.999
 x, y,0.981
 i, i,0.892
 a, m,0.953
 x, x,0.999
 i, i,0.962
 a, a,1
 x, n,0.622
 i, i,0.928
 a, g,1
 x, z,0.675
 i, i,0.998
 a, a,1
 x, x,1
 i, i,0.991
 a, m,1
 x, x,0.493
 i, i,0.98
 a, a,0.969
 x, x,0.773
 i, l,0.5
 a, a,1
 x, t,0.793
 i, i,1
 a, a,0.985
 x, x,0.93
 i, i,0.997
 a, o,1
 x, x,1
 i, i,0.999
 a, a,1
 x, x,1
 i, i,0.964
 a, o,0.978
 x, x,0.998
 i, i,0.999
 a, x,0.496
 x, y,0.511
 i, r,0.93
 a, m,0.992
 x, x,0.857
 i, i,1
 a, m,0.997
 x, x,0.961
 i, i,0.914
 n, n,0.789
 w, w,1
 o, a,1
 r, r,0.998
 k, u,0.947
 a, m,0.993
 b, h,0.75
 l, f,0.994
 e, e,0.96
 n, a,0.998
 w, w,1
 o, o,1
 r, c,0.961
 k, u,0.999
 a, a,0.998
 b, b,0.998
 l, l,0.998
 e, e,0.562
 n, n,0.999
 w, u,0.919
 o, o,1
 r, r,0.996
 k, k,0.987
 a, m,0.826
 b, b,0.999
 l, l,1
 e, a,1
 n, n,0.951
 w, w,1
 o, o,1
 r, r,0.999
 k, k,0.989
 a, a,0.997
 b, b,1
 l, l,0.997
 e, e,0.8
 n, a,0.619
 w, m,0.92
 o, o,1
 r, m,0.927
 k, d,1
 a, a,0.6
 b, d,1
 l, y,0.997
 e, e,0.832
 n, n,0.998
 w, w,1
 o, o,1
 r, p,1
 k, c,0.998
 a, n,0.69
 b, h,0.519
 l, l,0.985
 e, c,0.969
 n, n,0.997
 w, w,1
 o, o,1
 r, u,0.73
 k, x,0.861
 a, a,0.992
 b, u,0.507
 l, l,1
 e, c,0.607
 n, o,0.991
 w, u,1
 o, o,1
 r, r,1
 k, k,1
 a, a,0.636
 b, b,0.98
 l, l,0.988
 e, e,1
 n, n,1
 w, u,1
 o, g,1
 r, r,1
 k, k,0.493
 a, h,0.307
 b, b,1
 l, l,1
 e, o,0.999
 n, n,0.999
 w, n,0.669
 o, o,1
 r, r,0.995
 k, u,0.582
 a, m,0.872
 b, u,0.699
 l, b,0.996
 e, a,0.995
 n, n,0.998
 w, w,1
 o, o,1
 r, r,0.91
 k, k,0.614
 a, a,0.659
 b, b,1
 l, l,0.996
 e, m,0.521
 n, n,0.776
 w, w,0.915
 o, o,1
 r, x,0.994
 k, k,0.993
 a, a,1
 b, b,1
 l, l,0.975
 e, e,0.999
 n, n,1
 w, w,1
 o, o,1
 r, r,0.997
 k, k,0.569
 a, g,0.986
 b, b,1
 l, l,0.987
 e, e,1
 n, o,0.806
 w, w,1
 o, o,1
 r, r,1
 k, k,0.536
 a, a,1
 b, b,1
 l, l,0.921
 e, e,0.938
 n, u,0.537
 w, w,1
 o, o,1
 r, r,0.947
 k, k,1
 a, a,1
 b, b,0.998
 l, l,0.875
 e, c,0.999
 n, m,0.775
 w, w,1
 o, m,1
 r, l,0.581
 k, u,0.998
 a, a,0.975
 b, b,0.999
 l, l,0.994
 e, e,0.942
 n, n,0.988
 w, w,1
 o, o,1
 r, m,0.743
 k, e,0.93
 a, a,0.95
 b, u,0.999
 l, l,1
 e, m,0.998
 n, g,0.939
 w, u,0.895
 o, o,1
 r, r,0.972
 k, d,1
 a, a,0.995
 b, b,0.997
 l, y,0.948
 e, m,0.865
 n, n,0.604
 w, w,1
 o, o,1
 r, v,1
 k, k,0.977
 a, a,1
 b, b,1
 l, l,0.864
 e, e,0.984
 n, n,0.997
 w, w,1
 o, b,1
 r, c,0.686
 k, k,0.966
 a, q,0.534
 b, b,1
 l, l,1
 e, e,0.621
 n, n,0.998
 w, w,1
 o, o,0.991
 r, y,0.949
 k, b,0.999
 a, a,1
 b, t,0.927
 l, l,0.964
 e, e,0.686
 n, n,0.905
 w, w,1
 o, o,1
 r, r,0.998
 k, n,0.972
 a, a,1
 b, u,0.999
 l, l,0.997
 e, e,0.953
 n, n,1
 w, w,1
 o, o,1
 r, r,0.53
 k, w,0.994
 a, m,0.675
 b, u,0.95
 l, l,0.863
 e, a,0.998
 n, n,0.999
 w, w,1
 o, g,1
 r, r,1
 k, k,1
 a, o,0.996
 b, b,0.994
 l, l,0.998
 e, e,1
 n, m,0.925
 w, w,1
 o, o,1
 r, c,0.602
 k, u,0.999
 a, m,0.989
 b, b,0.971
 l, l,1
 e, e,1
 n, m,1
 w, w,0.691
 o, o,1
 r, m,0.995
 k, w,0.705
 a, x,0.825
 b, b,0.994
 l, l,1
 e, a,0.683
 n, m,0.999
 w, w,0.999
 o, o,0.94
 r, r,0.942
 k, x,0.906
 a, m,0.943
 b, h,0.868
 l, z,0.961
 e, m,0.941
 n, n,1
 w, w,0.634
 o, o,1
 r, r,0.919
 k, e,1
 a, a,0.999
 b, b,0.999
 l, r,0.973
 e, e,1
 n, n,1
 w, u,0.982
 o, o,1
 r, f,0.975
 k, k,0.845
 a, o,1
 b, b,1
 l, l,1
 e, a,0.999
 n, g,0.999
 w, e,0.45
 o, o,1
 r, l,1
 k, b,0.977
 a, a,0.999
 b, b,1
 l, l,1
 e, e,1
 n, a,0.991
 w, m,0.997
 o, g,1
 r, r,0.786
 k, b,0.996
 a, a,0.986
 b, b,1
 l, l,1
 e, c,1
 n, n,0.98
 w, w,0.999
 o, z,0.998
 r, r,1
 k, k,0.948
 a, m,0.705
 b, b,1
 l, i,0.997
 e, a,0.835
 n, e,0.95
 w, w,1
 o, o,1
 r, c,0.539
 k, b,0.711
 a, a,0.987
 b, b,0.993
 l, l,0.942
 e, a,0.992
 n, n,0.654
 w, w,1
 o, o,0.823
 r, r,1
 k, k,0.984
 a, a,1
 b, b,1
 l, l,0.999
 e, e,0.989
 n, n,0.991
 w, w,1
 o, o,1
 r, m,0.79
 k, h,0.688
 a, m,0.991
 b, b,0.942
 l, l,0.789
 e, e,0.596
 n, n,0.973
 w, w,1
 o, o,1
 r, m,1
 k, h,0.976
 a, a,1
 b, b,1
 l, j,0.885
 e, e,0.983
 n, m,0.995
 w, w,1
 o, o,1
 r, m,0.863
 k, n,0.931
 a, n,1
 b, b,1
 l, b,0.654
 e, e,1
 n, g,0.993
 w, e,0.512
 o, o,0.817
 r, p,0.553
 k, b,0.838
 a, a,0.996
 b, b,1
 l, l,0.984
 e, a,0.971
 n, o,0.844
 w, w,1
 o, o,1
 r, r,0.999
 k, c,1
 a, a,1
 b, b,0.887
 l, l,0.789
 e, e,1
 n, n,0.998
 w, w,0.924
 o, o,1
 r, r,0.523
 k, h,0.946
 a, z,0.522
 b, b,1
 l, l,0.968
 e, e,0.953
 n, u,0.98
 w, u,0.651
 o, o,1
 r, k,1
 k, y,0.999
 a, n,0.571
 b, d,1
 l, f,0.995
 e, r,0.998
 n, n,1
 w, w,1
 o, o,1
 r, r,1
 k, k,1
 a, a,0.872
 b, d,0.964
 l, r,0.938
 e, e,0.997
 n, o,0.966
 w, w,1
 o, a,0.618
 r, r,0.991
 k, b,1
 a, m,0.653
 b, d,0.986
 l, l,0.989
 e, c,0.919
 n, z,0.942
 w, u,0.976
 o, g,0.625
 r, y,1
 k, k,1
 a, a,0.899
 b, b,1
 l, l,0.999
 e, e,0.999
 n, n,0.999
 w, w,1
 o, g,1
 r, r,0.759
 k, k,0.993
 a, a,1
 b, b,1
 l, l,0.789
 e, c,1
 n, m,0.929
 w, w,0.788
 o, o,1
 r, c,0.816
 k, z,0.775
 a, a,0.925
 b, u,0.996
 l, l,0.998
 e, a,0.665
 n, n,0.989
 w, u,0.993
 o, g,0.982
 r, r,1
 k, k,1
 a, h,0.714
 b, h,0.784
 l, l,0.882
 e, a,0.55
 n, d,1
 w, a,0.999
 o, d,0.998
 r, r,1
 k, d,0.884
 a, d,0.997
 b, d,1
 l, y,0.985
 e, e,0.98
 n, m,0.982
 w, w,0.998
 o, m,0.956
 r, r,0.984
 k, w,0.89
 a, m,1
 b, u,0.999
 l, l,0.996
 e, m,0.968
 n, n,0.848
 w, w,0.993
 o, a,0.667
 r, m,0.668
 k, k,1
 a, m,0.988
 b, b,0.91
 l, l,0.999
 e, a,0.826
 n, n,1
 w, u,0.998
 o, o,1
 r, p,0.756
 k, k,0.998
 a, e,0.98
 b, b,0.818
 l, l,1
 e, m,0.993
 n, n,0.945
 w, w,0.998
 o, a,0.986
 r, f,0.997
 k, h,0.969
 a, m,0.992
 b, u,0.969
 l, t,0.711
 e, m,0.97
 n, n,0.768
 w, u,0.997
 o, q,0.565
 r, t,0.999
 k, z,0.91
 a, e,0.43
 b, b,0.997
 l, l,0.994
 e, a,0.625
 n, w,1
 w, w,0.974
 o, m,0.983
 r, m,0.751
 k, v,0.991
 a, m,0.967
 b, v,0.967
 l, k,0.457
 e, m,0.682
 n, m,0.995
 w, w,1
 o, o,0.809
 r, z,0.973
 k, k,0.536
 a, m,0.996
 b, b,1
 l, l,1
 e, m,0.97
 n, n,1
 w, w,1
 o, o,1
 r, t,0.783
 k, b,0.935
 a, a,0.993
 b, b,1
 l, l,0.999
 e, e,0.922
 n, w,0.853
 w, w,1
 o, a,0.699
 r, r,1
 k, k,0.938
 a, a,0.999
 b, b,0.999
 l, l,0.961
 e, p,0.976
 n, o,0.999
 w, w,1
 o, o,1
 r, c,0.97
 k, k,1
 a, a,1
 b, b,1
 l, l,1
 e, c,0.865
 n, n,1
 w, u,0.996
 o, o,1
 r, r,0.957
 k, k,0.968
 a, a,0.979
 b, b,1
 l, l,0.999
 e, c,0.995
 n, k,0.876
 w, w,0.9
 o, o,1
 r, r,0.647
 k, k,0.973
 a, a,0.998
 b, b,1
 l, l,1
 e, p,0.95
 n, w,0.406
 w, w,1
 o, o,1
 r, a,0.778
 k, k,1
 a, n,0.997
 b, s,0.684
 l, f,0.877
 e, c,0.996
 n, a,1
 w, w,0.995
 o, o,1
 r, r,0.953
 k, f,0.999
 a, a,0.799
 b, p,0.85
 l, r,0.985
 e, r,0.977
 n, n,0.996
 w, w,1
 o, o,1
 r, p,0.999
 k, k,0.778
 a, a,1
 b, h,0.863
 l, l,0.999
 e, m,0.425
 n, n,0.996
 w, w,0.999
 o, o,1
 r, r,0.651
 k, h,0.996
 a, a,0.997
 b, b,1
 l, l,0.991
 e, e,1
 n, n,1
 w, w,0.992
 o, o,1
 r, n,0.638
 k, p,0.974
 a, a,0.983
 b, b,1
 l, l,0.96
 e, a,0.961
 n, e,0.867
 w, w,0.983
 o, o,1
 r, e,0.996
 k, x,0.994
 a, d,0.999
 b, e,0.995
 l, d,0.54
 e, f,0.91
 n, n,0.999
 w, w,1
 o, o,0.995
 r, r,1
 k, u,0.999
 a, a,0.994
 b, b,0.987
 l, l,1
 e, a,0.922
 n, w,1
 w, w,1
 o, o,1
 r, m,0.98
 k, k,0.624
 a, m,0.998
 b, b,1
 l, i,0.99
 e, m,0.593
 n, d,0.82
 w, u,1
 o, p,1
 r, r,1
 k, l,0.918
 a, n,0.654
 b, l,0.939
 l, l,0.928
 e, e,0.899
 n, k,0.943
 w, u,1
 o, g,1
 r, k,0.985
 k, k,0.75
 a, a,1
 b, b,0.997
 l, l,0.789
 e, e,1
 n, g,1
 w, u,0.67
 o, g,1
 r, r,0.999
 k, b,0.716
 a, a,0.665
 b, b,0.99
 l, l,1
 e, m,0.927
 n, m,0.902
 w, w,1
 o, o,1
 r, c,0.856
 k, u,0.878
 a, m,0.67
 b, u,0.969
 l, l,1
 e, a,0.956
 n, n,0.966
 w, w,0.994
 o, m,0.802
 r, r,0.955
 k, h,0.771
